station,year,raw_rows,clean_rows,duplicates_removed,pm25_valid,pm25_missing_percent,pm10_valid,pm10_missing_percent,date_start,date_end,columns_available
Patparganj,2025,8760,8760,0,8585,2.0,8573,2.13,2025-01-01,2025-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Punjabi_Bagh,2022,8760,8760,0,8469,3.32,8510,2.85,2022-01-01,2022-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Punjabi_Bagh,2023,8760,8760,0,8354,4.63,8322,5.0,2023-01-01,2023-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Punjabi_Bagh,2024,8784,8784,0,8555,2.61,8545,2.72,2024-01-01,2024-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Punjabi_Bagh,2025,8760,8760,0,8100,7.53,8059,8.0,2025-01-01,2025-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Pusa,2022,8760,8760,0,8384,4.29,8394,4.18,2022-01-01,2022-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Pusa,2023,8760,8760,0,8331,4.9,8312,5.11,2023-01-01,2023-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Pusa,2024,8784,8784,0,8483,3.43,8523,2.97,2024-01-01,2024-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Pusa,2025,8760,8760,0,8491,3.07,8452,3.52,2025-01-01,2025-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Rohini,2022,8760,8760,0,8704,0.64,8692,0.78,2022-01-01,2022-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
