station,year,status,file_path,file_size_bytes,row_count,column_count,duplicate_rows
Patparganj,2022,available,data\raw\CPCB\Patparganj\2022\2022_hourly.csv,1256506,8760,25,0
Patparganj,2023,available,data\raw\CPCB\Patparganj\2023\2023_hourly.csv,1305323,8760,25,0
Patparganj,2024,available,data\raw\CPCB\Patparganj\2024\2024_hourly.csv,1081302,8784,25,0
Patparganj,2025,available,data\raw\CPCB\Patparganj\2025\2025_hourly.csv,1245922,8760,25,0
Punjabi_Bagh,2022,available,data\raw\CPCB\Punjabi_Bagh\2022\2022_hourly.csv,1254427,8760,25,0
Punjabi_Bagh,2023,available,data\raw\CPCB\Punjabi_Bagh\2023\2023_hourly.csv,1229697,8760,25,0
Punjabi_Bagh,2024,available,data\raw\CPCB\Punjabi_Bagh\2024\2024_hourly.csv,1008524,8784,25,0
Punjabi_Bagh,2025,available,data\raw\CPCB\Punjabi_Bagh\2025\2025_hourly.csv,1182282,8760,25,0
Pusa,2022,available,data\raw\CPCB\Pusa\2022\2022_hourly.csv,1258785,8760,25,0
Pusa,2023,available,data\raw\CPCB\Pusa\2023\2023_hourly.csv,1302140,8760,25,0
Pusa,2024,available,data\raw\CPCB\Pusa\2024\2024_hourly.csv,1102726,8784,25,0
Pusa,2025,available,data\raw\CPCB\Pusa\2025\2025_hourly.csv,1263709,8760,25,0
R_K_Puram,2022,available,data\raw\CPCB\R_K_Puram\2022\2022_hourly.csv,1223314,8760,25,0
R_K_Puram,2023,available,data\raw\CPCB\R_K_Puram\2023\2023_hourly.csv,1174688,8760,25,0
R_K_Puram,2024,available,data\raw\CPCB\R_K_Puram\2024\2024_hourly.csv,1098849,8784,25,0
R_K_Puram,2025,available,data\raw\CPCB\R_K_Puram\2025\2025_hourly.csv,1262375,8760,25,0
Rohini,2022,available,data\raw\CPCB\Rohini\2022\2022_hourly.csv,1219676,8760,25,0
Rohini,2023,available,data\raw\CPCB\Rohini\2023\2023_hourly.csv,1233999,8760,25,0
Rohini,2024,available,data\raw\CPCB\Rohini\2024\2024_hourly.csv,1099722,8784,25,0
Rohini,2025,available,data\raw\CPCB\Rohini\2025\2025_hourly.csv,1259720,8760,25,0
Shadipur,2022,available,data\raw\CPCB\Shadipur\2022\2022_hourly.csv,1228607,8760,25,0
Shadipur,2023,available,data\raw\CPCB\Shadipur\2023\2023_hourly.csv,1644402,8760,25,0
Shadipur,2024,available,data\raw\CPCB\Shadipur\2024\2024_hourly.csv,1106847,8784,25,0
Shadipur,2025,available,data\raw\CPCB\Shadipur\2025\2025_hourly.csv,1214897,8760,25,0
Sirifort,2022,available,data\raw\CPCB\Sirifort\2022\2022_hourly.csv,1190487,8760,25,0
Sirifort,2023,available,data\raw\CPCB\Sirifort\2023\2023_hourly.csv,1305155,8760,25,0
Sirifort,2024,available,data\raw\CPCB\Sirifort\2024\2024_hourly.csv,1043100,8784,25,0
Sirifort,2025,available,data\raw\CPCB\Sirifort\2025\2025_hourly.csv,1239165,8760,25,0
Sonia_Vihar,2022,available,data\raw\CPCB\Sonia_Vihar\2022\2022_hourly.csv,1253130,8760,25,0
Sonia_Vihar,2023,available,data\raw\CPCB\Sonia_Vihar\2023\2023_hourly.csv,1256620,8760,25,0
Sonia_Vihar,2024,available,data\raw\CPCB\Sonia_Vihar\2024\2024_hourly.csv,1021382,8784,25,0
