station,year,month,pm25,lag_sentinel2_ndvi_mean_500m,time_holdout_year,y_prediction,t_prediction,y_residual,t_residual,orthogonal_score,treatment
Aya_Nagar,2025,10,90.77,0.6322729256826396,2025,100.7029794568924,0.5587629131154459,-9.932979456892397,0.0735100125671937,-0.7301734447058369,sentinel2_ndvi_mean_500m
Aya_Nagar,2025,11,171.86,0.5935474139008504,2025,143.13915743466396,0.5462528428243839,28.720842565336056,0.04729457107646651,1.3583399300822907,sentinel2_ndvi_mean_500m
Bawana,2023,7,38.23,0.2944384423650403,2023,46.585591830085505,0.2533358825847858,-8.355591830085508,0.04110255978025451,-0.3434362126954958,sentinel2_ndvi_mean_500m
Bawana,2023,8,41.87,0.2662052999774798,2023,110.5373316168027,0.2682962032570623,-68.6673316168027,-0.002090903279582501,0.14357674887775193,sentinel2_ndvi_mean_500m
Bawana,2023,11,307.15,0.3056492565320317,2023,189.34508597674292,0.27379490407814155,117.80491402325706,0.03185435245389012,3.7525992520970535,sentinel2_ndvi_mean_500m
Bawana,2023,12,226.35,0.2150242897710541,2023,174.8752352832769,0.2478543077587452,51.47476471672309,-0.03283001798769111,-1.6899174515621866,sentinel2_ndvi_mean_500m
Bawana,2024,3,103.35,0.2277478240530547,2024,102.68263584074711,0.25248197121516847,0.6673641592528838,-0.02473414716211378,-0.016506683325681164,sentinel2_ndvi_mean_500m
Bawana,2024,4,93.35,0.2509625020415337,2024,106.53210116440158,0.23436159187264516,-13.182101164401587,0.01660091016888854,-0.21883487726743175,sentinel2_ndvi_mean_500m
Bawana,2024,5,109.17,0.1876705778411194,2024,100.76828212989163,0.24868587274249518,8.40171787010837,-0.06101529490137578,-0.512633293522821,sentinel2_ndvi_mean_500m
Bawana,2024,6,67.34,0.1999625842639856,2024,71.05041569838241,0.24591796886294637,-3.7104156983824055,-0.04595538459896076,0.17051358044118503,sentinel2_ndvi_mean_500m
Bawana,2024,7,42.37,0.2106766348842604,2024,37.95110048468289,0.27064011154166867,4.418899515317108,-0.05996347665740828,-0.26497257793815016,sentinel2_ndvi_mean_500m
Bawana,2024,8,33.28,0.2700051229809578,2024,37.25979884091302,0.28820049196344044,-3.97979884091302,-0.01819536898248264,0.07241390838646912,sentinel2_ndvi_mean_500m
Bawana,2024,9,52.26,0.3388478378698668,2024,73.5526379781121,0.30236836551085483,-21.292637978112104,0.036479472359011944,-0.7767441985729885,sentinel2_ndvi_mean_500m
Bawana,2024,10,141.36,0.3023098929830394,2024,138.1830382068179,0.31593577968696507,3.1769617931821017,-0.013625886703925671,-0.043288921456599856,sentinel2_ndvi_mean_500m
Bawana,2024,11,306.53,0.2998848165287189,2024,262.34285808470196,0.3020940942987447,44.187141915298014,-0.002209277770025775,-0.09762167035444204,sentinel2_ndvi_mean_500m
