station,year,month,pm25,sentinel2_ndvi_mean_1000m,fold,y_hat_oof,t_hat_oof,y_residual,t_residual,orthogonal_score
Aya_Nagar,2023,2,68.95,0.4160936702533278,4,94.34004358412882,0.48229313158900533,-25.39004358412882,-0.06619946133567756,1.773627412972089
Aya_Nagar,2023,3,61.87,0.4866557980243651,4,63.231524592666624,0.5082428214707586,-1.3615245926666262,-0.021587023446393516,0.03926130837344955
Aya_Nagar,2023,4,53.12,0.440268305957549,4,57.20478577083791,0.4737074770050416,-4.084785770837911,-0.03343917104749261,0.16027528088659437
Aya_Nagar,2023,6,35.79,0.4178857768368954,4,36.042156761431755,0.5205791562400885,-0.25215676143175614,-0.10269337940319317,0.2492615673756682
Aya_Nagar,2023,7,34.07,0.4790503086662003,4,29.09002229180028,0.4966013263285201,4.979977708199719,-0.017551017662319812,-0.08087931221692671
Aya_Nagar,2023,9,43.47,0.5955891130076232,4,33.64996782338182,0.6113623463433302,9.820032176618177,-0.015773233335707015,-0.14962409025438395
Aya_Nagar,2023,11,193.91,0.3808664172425842,4,225.7603802848437,0.45313154854850846,-31.85038028484371,-0.07226513130592427,2.4122811007779577
Aya_Nagar,2023,12,136.87,0.4329121726659453,4,177.41213823300774,0.5280341324195779,-40.542138233007734,-0.09512195975363258,4.048091624095506
Aya_Nagar,2024,1,149.47,0.2862702468742479,4,178.13766191669927,0.4326573118802616,-28.667661916699274,-0.14638706500601367,4.650452767072023
Aya_Nagar,2024,2,82.28,0.2843874319591424,4,86.81387978244626,0.46177063452300443,-4.533879782446263,-0.17738320256386203,1.4706703359740791
Aya_Nagar,2024,3,79.15,0.3049207739374719,4,65.25441764980935,0.4776647023246356,13.89558235019065,-0.17274392838716368,-1.7683452999058287
Aya_Nagar,2024,4,72.71,0.2704940686901579,4,56.20770474699454,0.3803576092214174,16.502295253005457,-0.10986354053125952,-1.5573535303278745
Aya_Nagar,2024,6,47.48,0.2270270008543256,4,48.291275040167015,0.3754587544993767,-0.8112750401670183,-0.14843175364505112,0.5870646531603705
Aya_Nagar,2024,9,33.95,0.6216042102224181,4,35.16304840513208,0.609701931457716,-1.2130484051320778,0.011902278764702068,-0.011437538797072232
Aya_Nagar,2024,10,97.79,0.5914532653920717,4,87.94425825943024,0.5943402149217485,9.845741740569764,-0.00288694952967683,-0.028247632141070098
Aya_Nagar,2024,11,222.58,0.3758034473703178,4,211.8255795869731,0.45838512332467574,10.754420413026907,-0.08258167595435795,-0.7436735668680878
Aya_Nagar,2024,12,130.38,0.4024358501875978,4,141.76479021439593,0.5073490709422075,-11.384790214395935,-0.10491322075460968,1.4275428001311536
Aya_Nagar,2025,1,110.32,0.4475022012138369,4,127.61127792879705,0.5405154665850429,-17.291277928797058,-0.09301326537120602,1.79155953420534
Aya_Nagar,2025,2,75.08,0.3671036349313048,4,84.90809329609517,0.3804591402401168,-9.828093296095176,-0.013355505308811966,0.13503708524615393
Aya_Nagar,2025,3,56.26,0.4573597142743435,4,62.270905846427965,0.4964731822078273,-6.010905846427967,-0.0391134679334838,0.2675104503634186
Aya_Nagar,2025,4,70.94,0.3327619254247572,4,63.08206659960031,0.40385179065050003,7.857933400399688,-0.07108986522574284,-0.4515787139329865
Aya_Nagar,2025,5,70.17,0.4104127128630053,4,55.54498849085658,0.42282489224439557,14.62501150914342,-0.012412179381390276,-0.17826517146931975
Aya_Nagar,2025,6,46.21,0.446228650789093,4,35.68721377003923,0.5046647246863392,10.522786229960772,-0.058436073897246144,-0.5425841103176674
Aya_Nagar,2025,8,28.15,0.5216175171559316,4,25.943540617686466,0.5902428792621364,2.2064593823135326,-0.06862536210620473,-0.05167137018863951
Aya_Nagar,2025,9,28.36,0.6249999624217499,4,31.047431453001394,0.619187256734159,-2.6874314530013947,0.005812705687590958,-0.014905615226299676
Aya_Nagar,2025,10,90.77,0.6064118939256451,4,88.07909573325212,0.6100862534456991,2.6909042667478786,-0.0036743595200540158,-0.009601395230021898
Aya_Nagar,2025,11,171.86,0.5005090249097998,4,171.3683378426333,0.49626827171114807,0.4916621573667044,0.004240753198651692,0.0024659254384604805
Bawana,2022,2,123.21,0.3014665136537587,3,112.4296904198074,0.29835199538515306,10.780309580192593,0.0031145182686056483,0.03378092549468784
Bawana,2022,3,127.44,0.2631956241513006,3,110.0490178450313,0.2837663322251711,17.390982154968697,-0.020570708073870514,-0.34878225671343327
Bawana,2022,4,151.96,0.2145557815226082,3,135.61267818573356,0.2603109292018913,16.34732181426645,-0.0457551476792831,-0.7036323019885643
Bawana,2022,5,88.41,0.2250606547968952,3,90.16253008947685,0.27406785699332137,-1.7525300894768492,-0.04900720219642618,0.13675562316792714
Bawana,2022,6,72.6,0.221332191592253,3,68.86300910318161,0.2723993910808186,3.7369908968183836,-0.05106719948856561,-0.13560223548372558
Bawana,2022,7,43.53,0.2630132162724749,3,41.507249192476955,0.3042547949504399,2.022750807523046,-0.04124157867796496,-0.0473964214596559
Bawana,2022,8,38.08,0.2800783425994103,3,35.37770927671159,0.3757230923739202,2.7022907232884066,-0.09564474977450993,-0.06470359891159265
Bawana,2022,9,46.77,0.283782775999608,3,38.886409264061456,0.31262414353206147,7.883590735938547,-0.028841367532453477,-0.20975518489628447
Bawana,2022,10,122.23,0.2914519104131985,3,110.97174246202218,0.3598190760081399,11.258257537977826,-0.06836716559494138,-0.6706966243424587
Bawana,2022,11,218.53,0.2178476756647231,3,174.93177535270934,0.2595017246937418,43.598224647290664,-0.041654049029018675,-1.779293372839473
Bawana,2022,12,190.43,0.2582001614598284,3,141.8706774492413,0.26236146084738954,48.55932255075871,-0.004161299387561157,-0.2017031111086778
Bawana,2023,4,93.55,0.2264216119499701,3,70.6799455577472,0.2793888643032376,22.870054442252794,-0.05296725235326752,-1.1519417761670463
Bawana,2023,6,52.15,0.2719889053735077,3,50.62452578599341,0.29821096477491776,1.5254742140065858,-0.02622205940141009,-0.02543752706913498
Bawana,2023,7,38.23,0.2562230100340682,3,35.27197268210687,0.3016535754890262,2.9580273178931265,-0.045430565454957994,-0.09066991294709904
Bawana,2023,8,41.87,0.304417193761607,3,40.8508281850673,0.38028803278726675,1.0191718149326974,-0.07587083902565978,0.04459694555896596
Bawana,2023,10,149.33,0.2731368394779622,3,111.14535762054962,0.34326293775026506,38.184642379450395,-0.07012609827230287,-2.573581905067185
Bawana,2023,11,307.15,0.198662265121831,3,225.4832018062881,0.21425660666730661,81.66679819371188,-0.01559434154547562,-1.2683892269075332
Bawana,2023,12,226.35,0.2794875700206893,3,184.26881622995393,0.2844022074858536,42.08118377004607,-0.0049146374651642954,-0.20630217877047596
