station,year,month,pm25,modis_ndvi_mean_1000m,fold,y_hat_oof,t_hat_oof,y_residual,t_residual,orthogonal_score
Ashok_Vihar,2023,12,215.02,0.2678000069161076,0,213.3671566261008,0.2185651296179916,1.652843373899202,0.049234877298116014,0.12408538824398577
Ashok_Vihar,2024,1,184.78,0.2144527699010996,0,226.62941339551816,0.18907609282721802,-41.849413395518155,0.02537667707388158,-1.0506533449157174
Ashok_Vihar,2024,2,103.67,0.2797074175254167,0,102.68504623194916,0.2062563810072161,0.9849537680508433,0.07345103651820062,0.16739712274837934
Ashok_Vihar,2024,4,62.14,0.2885038591880491,0,90.51557792104131,0.21292338563691743,-28.375577921041312,0.07558047355113168,-2.0439971710446296
Ashok_Vihar,2024,6,55.19,0.2813133957845433,0,92.13766668504577,0.20705143237806659,-36.947666685045775,0.0742619634064767,-2.646644635396359
Ashok_Vihar,2024,7,42.25,0.614903794642857,0,33.09742695489336,0.32026263580750997,9.152573045106642,0.2946411588353471,4.226222299701537
Ashok_Vihar,2024,10,120.75,0.3006932291306453,0,110.81995204460682,0.222682496874895,9.930047955393178,0.07801073225575028,0.8818690458013083
Ashok_Vihar,2024,12,199.52,0.2732267376720382,0,173.67729061455057,0.18999587424994982,25.84270938544944,0.08323086342208838,2.272959042490811
Ashok_Vihar,2025,1,194.46,0.3006842001521543,0,175.58779867982793,0.2290787547070434,18.87220132017208,0.07160544544511091,1.4416869694736238
Ashok_Vihar,2025,2,114.75,0.2674361712428246,0,100.97964227827062,0.21776268643542493,13.770357721729383,0.049673484807399665,0.7274938152508785
Ashok_Vihar,2025,3,80.96,0.2893174631717269,0,79.55722759358045,0.23603130076111617,1.402772406419544,0.05328616241061074,0.12477379077649696
Ashok_Vihar,2025,5,72.88,0.3362288228784838,0,75.02895480946685,0.2545463497489308,-2.148954809466858,0.08168247312955301,-0.05798273180131327
Ashok_Vihar,2025,6,53.18,0.3261096216216216,0,46.0684919501435,0.24273309625116365,7.111508049856496,0.08337652537045795,0.7154084237011772
Ashok_Vihar,2025,7,34.78,0.427619148370214,0,26.27365486910124,0.3330943520241119,8.506345130898762,0.09452479634610206,0.9614782055560844
Ashok_Vihar,2025,9,37.92,0.3804511480738641,0,38.711331466230824,0.29484536642917103,-0.7913314662308224,0.08560578164469307,0.061369911903289574
Ashok_Vihar,2025,10,129.19,0.358309765543952,0,107.90290471837608,0.2606504666810892,21.28709528162392,0.09765929886286279,2.2469137055378106
Ashok_Vihar,2025,11,254.86,0.3073008541392904,0,221.32487488403027,0.2075909871102543,33.53512511596975,0.09970986702903611,3.5189441976784956
Ashok_Vihar,2025,12,250.23,0.2585307178919704,0,239.437712228546,0.18967270676483025,10.792287771454,0.06885801112714016,0.8266709399983986
Aya_Nagar,2022,1,101.08,0.4995098427651174,4,127.23353622999791,0.545153828753807,-26.15353622999791,-0.04564398598868963,1.2304569676558514
Aya_Nagar,2022,2,65.89,0.4225917538269725,4,87.92663306724783,0.5201345166077472,-22.036633067247834,-0.09754276278077473,2.3171441965935915
Aya_Nagar,2022,3,67.11,0.507206008866108,4,71.32433471092993,0.47982992287461546,-4.214334710929933,0.02737608599149255,-0.10216801495460244
Aya_Nagar,2022,5,62.67,0.3899649892636973,4,68.32655783077948,0.4006391963726719,-5.656557830779477,-0.010674207108974598,0.0623866665469334
Aya_Nagar,2022,7,34.06,0.5702923087002096,4,29.814391015703954,0.6380542103883904,4.245608984296048,-0.06776190168818075,-0.20679340473079988
Aya_Nagar,2022,8,27.13,0.6091463427304841,4,28.806252702988886,0.6343329083315818,-1.6762527029888865,-0.025186565601097777,0.05339539541976469
Aya_Nagar,2022,9,32.75,0.613040202258087,4,33.23626598047936,0.6050334843997222,-0.4862659804793594,0.00800671785836482,-0.002763934096260411
