station,year,month,split,period,lag_sentinel2_ndvi_mean_1000m,lag_sentinel2_ndvi_mean_500m,lag_modis_ndvi_mean_1000m
IMD_Lodhi_Road,2025,4,train,2025-04-01,0.4514899559798305,0.4213914085486621,0.4308264614212496
IMD_Lodhi_Road,2025,5,train,2025-05-01,0.4085306107923457,0.3781810434214732,0.404351477231983
IMD_Lodhi_Road,2025,6,train,2025-06-01,0.4487228099140958,0.4139095085828599,0.4792942616705913
IMD_Lodhi_Road,2025,7,train,2025-07-01,0.4320787684449533,0.3969822002747059,0.4595032220738763
IMD_Lodhi_Road,2025,9,train,2025-09-01,,,
IMD_Lodhi_Road,2025,10,train,2025-10-01,0.5191423201545876,0.4711067501504195,0.5405481126194766
IMD_Lodhi_Road,2025,12,train,2025-12-01,,,
ITO,2022,1,train,2022-01-01,,,
ITO,2022,2,train,2022-02-01,0.3919492128852856,0.3887238534489588,0.3900446075038071
ITO,2022,3,train,2022-03-01,0.3293400975581278,0.3202408137910899,0.3489587117541188
ITO,2022,4,train,2022-04-01,0.3078935062052355,0.3079962658030707,0.4058561643361484
ITO,2022,5,train,2022-05-01,0.3456307161308598,0.3575741758091463,0.3252123497845967
ITO,2022,7,train,2022-07-01,,,
ITO,2022,8,train,2022-08-01,0.3813895691853744,0.3802305292725124,0.4041089498386053
ITO,2022,9,train,2022-09-01,0.4083803737401,0.4283634176133813,0.4406808952294685
ITO,2022,12,train,2022-12-01,,,
ITO,2023,1,train,2023-01-01,0.3013652120625098,0.2987076346893941,0.3284044683649453
ITO,2023,2,train,2023-02-01,0.2737661373392616,0.2971928998205766,0.2611478990724075
ITO,2023,4,train,2023-04-01,,,
ITO,2023,5,train,2023-05-01,0.3418088015238186,0.3472529054863668,0.3654275409693165
ITO,2023,6,train,2023-06-01,0.3639213207383184,0.3677930126777163,0.4381654264156167
ITO,2023,8,train,2023-08-01,,,
ITO,2023,9,train,2023-09-01,0.4113593198830921,0.4162944645854813,0.4405830726092089
ITO,2023,10,train,2023-10-01,0.4246183315299349,0.4223790625917046,0.4337573646647937
ITO,2023,11,train,2023-11-01,0.3731154819815303,0.3664808463480746,0.4527125723547115
ITO,2024,1,train,2024-01-01,,,
ITO,2024,3,train,2024-03-01,,,
ITO,2024,4,train,2024-04-01,0.362674499586097,0.3519815677625323,0.3441244358299875
ITO,2024,5,train,2024-05-01,0.3286903650031585,0.3316425298991269,0.3838319412324854
ITO,2024,6,train,2024-06-01,0.3207921678602923,0.3230399629372357,0.3339133992335828
ITO,2024,7,train,2024-07-01,0.3335934577571919,0.3374195079432553,0.3672543243990052
ITO,2024,8,train,2024-08-01,0.2849310503709039,0.281992943320286,0.4946135509470686
ITO,2024,9,train,2024-09-01,0.3875076593877182,0.3856142089879966,0.4567019216867444
ITO,2024,10,train,2024-10-01,0.3895397608853309,0.376318856822787,0.4597675965665236
ITO,2024,11,train,2024-11-01,0.4322439830445777,0.4299450080845837,0.3423880897796185
ITO,2024,12,train,2024-12-01,0.2758064762024542,0.2594654577351107,0.3149742284786138
ITO,2025,1,train,2025-01-01,0.3223533314353413,0.3066260166246412,0.35243751211408
ITO,2025,3,train,2025-03-01,,,
ITO,2025,4,train,2025-04-01,0.3823237799257291,0.3820382954912476,0.3594156306243942
ITO,2025,6,train,2025-06-01,,,
ITO,2025,7,train,2025-07-01,0.3645328694792543,0.3612699454121598,0.3802285516525351
ITO,2025,8,train,2025-08-01,0.3253426027593259,0.3287271451173799,0.4594389255016414
ITO,2025,9,train,2025-09-01,0.3991782955263723,0.4107852810377855,0.4997
ITO,2025,10,train,2025-10-01,0.4250182463193306,0.4248208715544108,0.4803087740551016
ITO,2025,12,train,2025-12-01,,,
Jahangirpuri,2022,1,train,2022-01-01,,,
Jahangirpuri,2022,2,train,2022-02-01,0.2469111711701881,0.2412340062952368,0.3035331547660193
Jahangirpuri,2022,4,train,2022-04-01,,,
Jahangirpuri,2022,5,train,2022-05-01,0.2346628346870481,0.2105500513474458,0.2406543962120689
Jahangirpuri,2022,6,train,2022-06-01,0.245913869002686,0.2238052951223177,0.254430878096986
Jahangirpuri,2022,8,train,2022-08-01,,,
Jahangirpuri,2022,9,train,2022-09-01,0.2467780430541603,0.2105301846262996,0.3268077293161921
Jahangirpuri,2022,10,train,2022-10-01,0.2192861095961496,0.20957246664899,0.3155378445850915
Jahangirpuri,2022,11,train,2022-11-01,0.2648587600172127,0.2432773281415132,0.3002098500034562
Jahangirpuri,2023,3,train,2023-03-01,,,
Jahangirpuri,2023,4,train,2023-04-01,0.2336650083091387,0.1957137801126001,0.2937365970830166
Jahangirpuri,2023,5,train,2023-05-01,0.2531581002070553,0.2201247118666281,0.2950481544204051
Jahangirpuri,2023,6,train,2023-06-01,0.2639316535333477,0.2363915127496857,0.3203252436579804
Jahangirpuri,2023,7,train,2023-07-01,0.2625916476678646,0.2275530084623218,0.283800816388238
Jahangirpuri,2023,8,train,2023-08-01,0.1329613003808713,0.0701913924105746,0.4601230822391155
Jahangirpuri,2023,9,train,2023-09-01,0.2676522983361529,0.2634001568153526,0.340698866385567
Jahangirpuri,2023,11,train,2023-11-01,,,
Jahangirpuri,2024,1,train,2024-01-01,,,
Jahangirpuri,2024,2,train,2024-02-01,0.1492307446303971,0.1226270596362576,0.2133111578947368
Jahangirpuri,2024,3,train,2024-03-01,0.2367404287393032,0.2156077729097304,0.2728931084537224
Jahangirpuri,2024,4,train,2024-04-01,0.2680231557899209,0.2252299195906929,0.2768164788829751
Jahangirpuri,2024,6,train,2024-06-01,,,
Jahangirpuri,2024,7,train,2024-07-01,0.216205564224017,0.196962095293724,0.2239560772462594
Jahangirpuri,2024,8,train,2024-08-01,0.136787226344221,0.1511538448052139,0.3462
Jahangirpuri,2024,9,train,2024-09-01,0.232617410028176,0.2129824776877671,0.4604661067026846
Jahangirpuri,2024,10,train,2024-10-01,0.2572178549072154,0.2740941124654319,0.3735017695444806
Jahangirpuri,2024,11,train,2024-11-01,0.2963037623399991,0.2636353512461741,0.2725361650653211
Jahangirpuri,2025,1,train,2025-01-01,,,
Jahangirpuri,2025,2,train,2025-02-01,0.2570276306484412,0.2383000892535234,0.2766839946084192
Jahangirpuri,2025,3,train,2025-03-01,0.2497080711992416,0.2111970276804145,0.2627839635031452
Jahangirpuri,2025,4,train,2025-04-01,0.2616568824435586,0.2249392769579638,0.2934595078454415
Jahangirpuri,2025,5,train,2025-05-01,0.2355726728606949,0.2102946105820652,0.2618410347687843
Jahangirpuri,2025,6,train,2025-06-01,0.2529707382089329,0.2285329803689783,0.3115101645123385
Jahangirpuri,2025,7,train,2025-07-01,0.2456893918407527,0.2212604413182405,0.2734927435272263
Jahangirpuri,2025,9,train,2025-09-01,,,
