station,year,month,worldpop_density_250m,worldpop_density_500m,worldpop_density_1000m
Okhla_Phase-2,2025,4,22871.193072505375,22178.503049495153,21411.21811244252
Okhla_Phase-2,2025,5,22871.193072505375,22178.503049495153,21411.21811244252
Okhla_Phase-2,2025,6,22871.193072505375,22178.503049495153,21411.21811244252
Okhla_Phase-2,2025,7,22871.193072505375,22178.503049495153,21411.21811244252
Okhla_Phase-2,2025,8,22871.193072505375,22178.503049495153,21411.21811244252
Okhla_Phase-2,2025,9,22871.193072505375,22178.503049495153,21411.21811244252
Okhla_Phase-2,2025,10,22871.193072505375,22178.503049495153,21411.21811244252
Okhla_Phase-2,2025,11,22871.193072505375,22178.503049495153,21411.21811244252
Okhla_Phase-2,2025,12,22871.193072505375,22178.503049495153,21411.21811244252
Patparganj,2022,1,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2022,2,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2022,3,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2022,4,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2022,5,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2022,6,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2022,7,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2022,8,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2022,9,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2022,10,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2022,11,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2022,12,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2023,1,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2023,2,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2023,3,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2023,4,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2023,5,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2023,6,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2023,7,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2023,8,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2023,9,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2023,10,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2023,11,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2023,12,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2024,1,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2024,2,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2024,3,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2024,4,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2024,5,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2024,6,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2024,7,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2024,8,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2024,9,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2024,10,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2024,11,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2024,12,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2025,1,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2025,2,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2025,3,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2025,4,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2025,5,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2025,6,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2025,7,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2025,8,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2025,9,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2025,10,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2025,11,29657.94402758144,33437.650295018415,32328.581874775566
Patparganj,2025,12,29657.94402758144,33437.650295018415,32328.581874775566
Punjabi_Bagh,2022,1,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2022,2,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2022,3,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2022,4,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2022,5,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2022,6,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2022,7,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2022,8,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2022,9,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2022,10,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2022,11,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2022,12,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2023,1,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2023,2,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2023,3,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2023,4,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2023,5,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2023,6,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2023,7,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2023,8,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2023,9,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2023,10,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2023,11,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2023,12,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2024,1,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2024,2,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2024,3,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2024,4,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2024,5,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2024,6,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2024,7,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2024,8,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2024,9,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2024,10,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2024,11,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2024,12,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2025,1,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2025,2,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2025,3,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2025,4,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2025,5,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2025,6,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2025,7,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2025,8,26359.84630519116,25332.58016318977,24336.471270832953
