station,year,month,road_density_100m,road_density_250m,road_density_500m,road_density_1000m,major_road_density_1000m
Nehru_Nagar,2025,10,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2025,11,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2025,12,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
North_Campus_DU,2022,1,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2022,2,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2022,3,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2022,4,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2022,5,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2022,6,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2022,7,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2022,8,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2022,9,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2022,10,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2022,11,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2022,12,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2023,1,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2023,2,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2023,3,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2023,4,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2023,5,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2023,6,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2023,7,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2023,8,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2023,9,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2023,10,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2023,11,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2023,12,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2024,1,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2024,2,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2024,3,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2024,4,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2024,5,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2024,6,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2024,7,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2024,8,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2024,9,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2024,10,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2024,11,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2024,12,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2025,1,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
North_Campus_DU,2025,2,27.466314279716617,24.129588889467534,20.39802146284845,21.500114239909944,2.366477743207065
