station,ogd_station,latitude,longitude,coordinate_status,coordinate_source,coordinate_source_url,match_status,match_method,unique_coordinate_pairs
Pusa,"Pusa, Delhi - DPCC",28.6391,77.1462,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
R_K_Puram,"R K Puram, Delhi - DPCC",28.563262,77.186937,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
Rohini,"Rohini, Delhi - DPCC",28.732528,77.11992,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
Shadipur,"Shadipur, Delhi - CPCB",28.6514781,77.1473105,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
Sirifort,"Sirifort, Delhi - CPCB",28.5504249,77.2159377,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
Sonia_Vihar,"Sonia Vihar, Delhi - DPCC",28.710508,77.249485,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
Sri_Aurobindo_Marg,"Sri Aurobindo Marg, Delhi - DPCC",28.531346,77.190156,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
Talkatora_Garden,"Talkatora Garden, Delhi - DPCC",28.62181,77.1944633,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
Vivek_Vihar,"Vivek Vihar, Delhi - DPCC",28.672342,77.31526,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
Wazirpur,"Wazirpur, Delhi - DPCC",28.699793,77.165453,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1
