country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Andhra Pradesh",Kadapa,"Yerramukkapalli, Kadapa - APPCB","04-08-2026 05:00:00",14.465052,78.824187,PM10,53,73,61
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","04-08-2026 05:00:00",26.181742,91.78063,SO2,45,61,51
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","04-08-2026 05:00:00",26.446912,91.439057,PM2.5,21,123,57
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","04-08-2026 05:00:00",26.446912,91.439057,CO,20,22,21
India,Assam,Silchar,"Tarapur, Silchar - PCBA","04-08-2026 05:00:00",24.82827,92.79525,PM10,52,65,57
India,Assam,Silchar,"Tarapur, Silchar - PCBA","04-08-2026 05:00:00",24.82827,92.79525,NO2,17,17,17
India,"Andhra Pradesh",Vijayawada,"HB Colony, Vijayawada - APPCB","04-08-2026 05:00:00",16.536107,80.594233,CO,33,34,33
India,"Andhra Pradesh",Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","04-08-2026 05:00:00",16.509717,80.612222,PM2.5,42,69,57
India,"Andhra Pradesh",Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","04-08-2026 05:00:00",17.72,83.3,OZONE,1,7,2
India,"Andhra Pradesh",Amaravati,"Secretariat, Amaravati - APPCB","04-08-2026 05:00:00",16.5150833,80.5181667,PM10,5,183,68
India,"Andhra Pradesh",Amaravati,"Secretariat, Amaravati - APPCB","04-08-2026 05:00:00",16.5150833,80.5181667,SO2,7,57,13
India,"Andhra Pradesh",Amaravati,"Secretariat, Amaravati - APPCB","04-08-2026 05:00:00",16.5150833,80.5181667,OZONE,12,30,22
India,"Andhra Pradesh",Anantapur,"Gulzarpet, Anantapur - APPCB","04-08-2026 05:00:00",14.675886,77.593027,NO2,19,25,20
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","04-08-2026 05:00:00",30.735567,76.775714,PM10,12,48,24
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","04-08-2026 05:00:00",30.735567,76.775714,CO,44,78,56
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","04-08-2026 05:00:00",30.751462,76.762879,CO,14,41,24
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","04-08-2026 05:00:00",30.751462,76.762879,OZONE,14,23,19
