station,year,month,pm25
CPRI_Mathura_Road,2022,11,154.12
CPRI_Mathura_Road,2022,12,149.88
CPRI_Mathura_Road,2023,1,160.37
CPRI_Mathura_Road,2023,2,107.78
CPRI_Mathura_Road,2023,3,71.92
CPRI_Mathura_Road,2023,4,63.11
CPRI_Mathura_Road,2023,5,64.24
CPRI_Mathura_Road,2023,6,39.31
CPRI_Mathura_Road,2023,7,28.9
CPRI_Mathura_Road,2023,8,37.93
CPRI_Mathura_Road,2023,9,31.1
CPRI_Mathura_Road,2023,10,68.05
CPRI_Mathura_Road,2023,11,164.54
CPRI_Mathura_Road,2023,12,162.31
CPRI_Mathura_Road,2024,1,174.31
CPRI_Mathura_Road,2024,2,89.07
CPRI_Mathura_Road,2024,3,64.84
CPRI_Mathura_Road,2024,4,62.65
CPRI_Mathura_Road,2024,5,89.41
CPRI_Mathura_Road,2024,6,53.53
CPRI_Mathura_Road,2024,7,29.73
CPRI_Mathura_Road,2024,8,16.61
CPRI_Mathura_Road,2024,10,155.08
CPRI_Mathura_Road,2024,11,207.0
CPRI_Mathura_Road,2024,12,171.14
CPRI_Mathura_Road,2025,1,151.06
CPRI_Mathura_Road,2025,2,94.45
CPRI_Mathura_Road,2025,3,70.2
CPRI_Mathura_Road,2025,4,76.51
CPRI_Mathura_Road,2025,5,62.46
CPRI_Mathura_Road,2025,6,44.4
CPRI_Mathura_Road,2025,7,24.01
CPRI_Mathura_Road,2025,8,27.7
CPRI_Mathura_Road,2025,9,31.12
CPRI_Mathura_Road,2025,10,107.28
CPRI_Mathura_Road,2025,11,213.53
CPRI_Mathura_Road,2025,12,181.58
Chandni_Chowk,2022,1,93.19
Chandni_Chowk,2022,2,87.4
Chandni_Chowk,2022,3,92.38
Chandni_Chowk,2022,4,113.25
Chandni_Chowk,2022,5,95.65
Chandni_Chowk,2022,6,91.81
Chandni_Chowk,2022,7,36.19
Chandni_Chowk,2022,8,39.74
Chandni_Chowk,2022,12,119.11
Chandni_Chowk,2023,1,109.43
Chandni_Chowk,2023,2,75.04
Chandni_Chowk,2023,3,50.86
Chandni_Chowk,2023,4,26.19
Chandni_Chowk,2023,5,26.62
Chandni_Chowk,2023,6,58.74
Chandni_Chowk,2024,3,107.29
Chandni_Chowk,2024,4,96.29
Chandni_Chowk,2024,5,137.05
Chandni_Chowk,2024,6,151.7
Chandni_Chowk,2024,8,25.0
Chandni_Chowk,2024,9,25.0
Chandni_Chowk,2024,11,5.0
Chandni_Chowk,2024,12,120.96
Chandni_Chowk,2025,1,126.99
Chandni_Chowk,2025,2,94.76
Chandni_Chowk,2025,3,81.14
Chandni_Chowk,2025,4,85.8
Chandni_Chowk,2025,5,58.34
Chandni_Chowk,2025,6,56.72
Chandni_Chowk,2025,7,40.94
Chandni_Chowk,2025,8,35.07
Chandni_Chowk,2025,9,40.3
Chandni_Chowk,2025,10,103.11
Chandni_Chowk,2025,11,220.37
Chandni_Chowk,2025,12,228.51
DTU,2022,1,157.38
DTU,2022,2,116.57
DTU,2022,3,106.15
DTU,2022,4,150.76
DTU,2022,5,123.24
DTU,2022,6,86.03
DTU,2022,7,40.18
DTU,2022,8,38.72
DTU,2022,9,35.71
DTU,2022,10,92.31
DTU,2022,11,93.79
DTU,2022,12,112.84
DTU,2023,1,158.0
DTU,2023,2,70.89
DTU,2023,3,49.4
DTU,2023,4,56.58
DTU,2023,5,59.31
DTU,2023,6,44.8
DTU,2023,7,37.76
DTU,2023,8,37.45
DTU,2023,9,32.53
DTU,2023,10,74.18
DTU,2023,11,127.74
DTU,2023,12,106.88
DTU,2024,1,92.64
DTU,2024,2,58.56
DTU,2024,3,70.82
DTU,2024,4,84.4
DTU,2024,5,120.3
DTU,2024,6,96.95
DTU,2024,7,31.98
DTU,2024,8,15.84
DTU,2024,9,25.84
DTU,2024,10,67.87
DTU,2024,11,137.16
DTU,2024,12,82.29
DTU,2025,1,81.11
DTU,2025,2,53.88
DTU,2025,3,43.89
DTU,2025,4,55.94
