feature,importance,model
modis_ndvi_std_1000m,0.35437604999000905,Ridge
sentinel2_evi_mean_500m,0.3536680376681584,Ridge
s5p_no2_total_std_1000m,0.34029270257180644,Ridge
s5p_valid_obs_count_1000m,0.32535284941036835,Ridge
sentinel2_evi_std_100m,0.31946320807065753,Ridge
sentinel2_evi_std_1000m,0.31866565655796025,Ridge
modis_lst_night_std_c_100m,0.30346182669092125,Ridge
sentinel2_ndwi_std_500m,0.2890761819686555,Ridge
s5p_no2_total_median_100m,0.28617020028295653,Ridge
road_density_250m,0.26744527597571655,Ridge
sentinel2_ndwi_mean_250m,0.24833390073063974,Ridge
modis_lst_day_median_c_100m,0.2418577660109239,Ridge
modis_lst_day_mean_c_250m,0.22743245646928498,Ridge
modis_lst_day_std_c_1000m,0.20067884969788904,Ridge
modis_lst_day_mean_c_500m,0.15448475938287892,Ridge
modis_lst_day_median_c_250m,0.12105190778489658,Ridge
modis_lst_day_std_c_100m,0.1031235163864328,Ridge
sentinel2_evi_std_500m,0.06991285742025216,Ridge
sentinel2_evi_mean_100m,0.05953915006371702,Ridge
sentinel2_ndvi_max_500m,0.04979913131558448,Ridge
gradient_lst_day_1000_100,0.0013581708825100665,Ridge
