feature,importance,model
modis_lst_night_std_c_250m,0.0005572882401945026,Random Forest
sentinel2_ndvi_mean_500m,0.0005557723703338534,Random Forest
sentinel2_valid_pixels_500m,0.0005398768801761523,Random Forest
modis_evi_std_100m,0.0005327396409026506,Random Forest
s5p_no2_trop_std_500m,0.000525326638695624,Random Forest
gradient_no2_1000_100,0.0005250249626285595,Random Forest
sentinel2_ndwi_mean_100m,0.0005164910961346212,Random Forest
worldcover_2021_cropland_frac_500m,0.0005155401917668949,Random Forest
sentinel2_ndvi_std_250m,0.0005081061413586872,Random Forest
worldcover_2021_water_frac_1000m,0.0004847643525042754,Random Forest
s5p_no2_total_std_500m,0.00048427988816624677,Random Forest
worldcover_2021_grass_frac_250m,0.00047134332047783035,Random Forest
s5p_valid_obs_count_500m,0.000460688564354126,Random Forest
s5p_no2_trop_std_250m,0.0004412749078308084,Random Forest
sentinel2_valid_pixels_250m,0.00043653322772396963,Random Forest
worldcover_2021_cropland_frac_100m,0.00043110973292756244,Random Forest
s5p_no2_trop_std_1000m,0.00042872373948031573,Random Forest
modis_lst_day_std_c_100m,0.00041632370264967604,Random Forest
s5p_no2_total_std_100m,0.00039265710806344603,Random Forest
s5p_no2_total_std_250m,0.00034607081569767946,Random Forest
s5p_no2_trop_std_100m,0.00028619715702610525,Random Forest
modis_lst_night_std_c_100m,0.0002760611093362239,Random Forest
s5p_valid_obs_count_250m,0.0002657400068193606,Random Forest
worldcover_2021_grass_frac_100m,0.00025514660478056557,Random Forest
worldcover_2021_water_frac_500m,0.0001820146547254952,Random Forest
s5p_valid_obs_count_100m,0.00017991392615578826,Random Forest
worldcover_2021_water_frac_250m,0.0001387253546238625,Random Forest
worldcover_2021_water_frac_100m,6.387779938206186e-05,Random Forest
